startToken --> W3E!
formatVersion --> 11
mainTileset --> L
customTilesetsFlag --> 0
groundTilesetsUsed --> 6
groundTileset1id --> Ldrt
groundTileset2id --> Ldro
groundTileset3id --> Ldrg
groundTileset4id --> Lrok
groundTileset5id --> Lgrs
groundTileset6id --> Lgrd
cliffTilesetsUsed --> 2
cliffTileset1id --> CLdi
cliffTileset2id --> CLgr
width --> 65
height --> 65
centerX --> -4096
centerY --> -4096
tile1
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile2
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile3
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile4
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile5
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile6
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile7
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 5
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile8
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile9
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 1
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile10
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile11
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile12
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile13
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile14
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile15
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 2
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile16
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 10
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile17
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile18
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile19
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile20
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 2
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile21
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile22
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile23
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile24
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile25
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile26
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile27
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile28
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile29
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile30
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile31
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile32
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile33
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile34
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile35
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile36
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile37
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile38
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 14
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile39
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile40
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile41
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile42
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile43
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile44
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile45
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile46
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile47
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile48
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile49
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile50
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile51
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 10
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile52
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile53
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile54
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile55
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 10
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile56
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile57
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 9
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile58
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile59
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile60
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile61
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile62
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile63
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile64
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 13
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile65
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 17
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile66
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile67
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 0
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile68
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile69
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 9
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile70
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 6
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile71
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 4
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile72
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile73
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 8
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile74
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile75
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 16
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile76
	groundHeight --> 8192
	waterLevel --> 8192
	boundary --> 1
	flags --> 0
	tex --> 0
	ramp --> 0
	blight --> 0
	water --> 0
	boundary2 --> 1
	textureDetails --> 12
	cliff --> 0
	layer --> 2
	cliffTex --> 15
tile77
	groundHeight --> 8192
